Symbol,Environment Risk Score,Social Risk Score,Governance Risk Score
BIT,,,
BITF,,,
BIVI,,,
BJ,,,
BJDX,,,
BJRI,,,
BK,1.0,9.0,1.0
BKCC,,,
BKD,,,
BKDT,,,
BKE,,,
BKH,,,
BKI,,,
BKKT,,,
BKN,,,
BKNG,2.0,12.0,2.0
BKR,,,
BKSC,,,
BKSY,,,
BKT,,,
BKTI,,,
BKU,,,
BKYI,,,
BL,,,
BLACR,,,
BLACU,,,
BLACW,,,
BLBD,,,
BLBX,,,
BLCM,,,
BLCO,,,
BLD,,,
BLDE,,,
BLDEW,,,
BLDP,,,
BLDR,,,
BLE,,,
BLEU,,,
BLEUR,,,
BLEUW,,,
BLFS,,,
BLFY,,,
BLIN,,,
BLK,1.0,10.0,1.0
BLKB,,,
BLMN,,,
BLND,,,
BLNG,,,
BLNGW,,,
BLNK,,,
BLPH,,,
BLRX,,,
BLTE,,,
BLU,,,
BLUA,,,
BLUE,,,
BLW,,,
BLX,,,
BLZE,,,
BMA,,,
BMBL,,,
BME,2.0,14.0,2.0
BMEA,,,
BMEZ,,,
BMI,,,
BML^G,,,
BML^H,,,
BML^J,,,
BML^L,,,
BMN,,,
BMO,2.0,7.0,2.0
BMR,,,
BMRA,,,
BMRC,,,
BMRN,1.0,17.0,1.0
BMTX,,,
BMY,0.0,15.0,0.0
BN,,,
BNED,,,
BNGO,,,
BNGOW,,,
BNH,,,
BNIX,,,
BNIXR,,,
BNIXW,,,
BNJ,,,
BNL,,,
BNMV,,,
BNNR,,,
BNNRU,,,
BNNRW,,,
BNOX,,,
BNR,,,
BNRE,,,
BNRG,,,
BNS,1.0,10.0,1.0
BNSO,,,
BNTC,,,
BNTX,,,
BNY,,,
BOAC,,,
BOC,,,
BOCN,,,
BOCNU,,,
BODY,,,
BOE,4.0,10.0,4.0
BOH,,,
BOH^A,,,
BOKF,2.0,9.0,2.0
BOLT,,,
BON,,,
BOOM,,,
BOOT,,,
BORR,,,
BOSC,,,
BOTJ,,,
BOWL,,,
BOX,,,
BOXL,,,
BP,,,
BPAC,,,
BPACU,,,
