Symbol,Environment Risk Score,Social Risk Score,Governance Risk Score
COO,3.0,11.0,3.0
COP,17.0,10.0,17.0
COST,7.0,11.0,7.0
COTY,11.0,9.0,11.0
CP,6.0,8.0,6.0
CPB,11.0,8.0,11.0
CPG,22.0,10.0,22.0
CPRI,1.0,9.0,1.0
CPRT,2.0,11.0,2.0
CPT,4.0,4.0,4.0
CPZ,5.0,10.0,5.0
CRF,3.0,10.0,3.0
CRM,2.0,6.0,2.0
CSCO,0.0,6.0,0.0
CSGP,5.0,13.0,5.0
CSL,11.0,4.0,11.0
CSX,7.0,9.0,7.0
CTAS,3.0,9.0,3.0
CTR,0.0,0.0,0.0
CTRA,24.0,13.0,24.0
CTSH,1.0,8.0,1.0
CUBA,0.0,0.0,0.0
CVE,23.0,10.0,23.0
CVS,0.0,16.0,0.0
CVX,19.0,9.0,19.0
D,11.0,9.0,11.0
DAL,10.0,11.0,10.0
DB,1.0,12.0,1.0
DCI,11.0,15.0,11.0
DD,13.0,8.0,13.0
DE,3.0,7.0,3.0
DEI,5.0,5.0,5.0
DELL,1.0,9.0,1.0
DFP,2.0,10.0,2.0
DFS,0.0,12.0,0.0
DG,3.0,9.0,3.0
DGX,0.0,13.0,0.0
DHI,9.0,7.0,9.0
DHR,1.0,5.0,1.0
DIAX,3.0,12.0,3.0
DIS,0.0,8.0,0.0
DISH,2.0,10.0,2.0
DKS,3.0,7.0,3.0
DLR,3.0,3.0,3.0
DLTR,3.0,7.0,3.0
DNP,11.0,9.0,11.0
DOV,7.0,12.0,7.0
DOX,1.0,6.0,1.0
DPZ,8.0,17.0,8.0
DRI,8.0,15.0,8.0
DTE,15.0,10.0,15.0
DUK,14.0,9.0,14.0
DVA,0.0,14.0,0.0
DVN,21.0,8.0,21.0
DXC,1.0,10.0,1.0
DXCM,5.0,10.0,5.0
EA,0.0,6.0,0.0
EBAY,1.0,9.0,1.0
ECF,0.0,0.0,0.0
ECL,9.0,8.0,9.0
ED,7.0,9.0,7.0
EDU,0.0,9.0,0.0
EEA,4.0,9.0,4.0
EFX,0.0,19.0,0.0
EIX,11.0,11.0,11.0
EL,7.0,11.0,7.0
ELV,0.0,6.0,0.0
EMF,4.0,10.0,4.0
EMN,12.0,5.0,12.0
EMR,10.0,12.0,10.0
ENB,9.0,9.0,9.0
EOD,5.0,9.0,5.0
EOG,20.0,8.0,20.0
EOI,4.0,11.0,4.0
EOS,3.0,10.0,3.0
EQIX,3.0,4.0,3.0
EQR,3.0,3.0,3.0
EQT,19.0,10.0,19.0
ERH,13.0,9.0,13.0
ERIE,2.0,11.0,2.0
ES,5.0,8.0,5.0
ESS,4.0,3.0,4.0
ET,0.0,0.0,0.0
ETB,4.0,10.0,4.0
ETG,4.0,10.0,4.0
ETJ,3.0,11.0,3.0
ETN,5.0,7.0,5.0
ETO,4.0,10.0,4.0
ETR,16.0,7.0,16.0
ETV,3.0,10.0,3.0
ETW,4.0,9.0,4.0
ETY,4.0,11.0,4.0
EVT,5.0,11.0,5.0
EW,3.0,9.0,3.0
EWBC,2.0,12.0,2.0
